Team,User,Week,Date,Location,Opponent_Rank,Opponent,Opponent_User,Matchup_Type,Status,Outcome,Team_Score,Opponent_Score,Margin,Last_Updated,Season,Opponent_Rank_At_Game
Baylor,tigerbo134_85571,8,"Sat, Oct 24",Home,-,Missouri State,CPU,User vs CPU,Upcoming,-,,,,2026-08-08 12:18:40,2026,
Baylor,TigerBo413,9,"Sat, Oct 31",Away,20,Texas A&M,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:44:55,2026,
Baylor,TigerBo413,10,"Sat, Nov 7",Home,-,Iowa State,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:44:55,2026,
Baylor,TigerBo413,11,"Sat, Nov 14",Home,6,BYU,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:44:55,2026,
Baylor,TigerBo413,12,"Sat, Nov 21",Home,-,Kansas State,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:44:55,2026,
Baylor,TigerBo413,13,"Sat, Nov 28",Away,16,Houston,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:44:55,2026,
Baylor,TigerBo413,14,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:44:55,2026,
Baylor,TigerBo413,Conf Champ,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:44:55,2026,
Baylor,TigerBo413,16,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:44:55,2026,
California,benmoore_91313,0,,-,-,BYE,-,BYE,BYE,-,,,,2026-08-08 12:18:41,2026,
California,benmoore_91313,1,"Sat, Sep 5",Home,-,UCLA,CPU,User vs CPU,Completed,W,35.0,21.0,14.0,2026-08-08 12:18:41,2026,-
California,benmoore_91313,2,"Sat, Sep 12",Home,-,Syracuse,CPU,User vs CPU,Completed,W,31.0,8.0,23.0,2026-08-08 12:18:41,2026,-
California,benmoore_91313,3,"Sat, Sep 19",Home,-,Temple,reign_man34,User vs User,Completed,W,45.0,0.0,45.0,2026-08-08 12:18:41,2026,-
California,benmoore_91313,4,"Sat, Sep 26",Away,10,BYU,CPU,User vs CPU,Completed,W,34.0,31.0,3.0,2026-08-08 12:18:41,2026,3
California,benmoore_91313,5,"Sat, Oct 3",Home,-,Arizona,CPU,User vs CPU,Completed,W,44.0,14.0,30.0,2026-08-08 12:18:41,2026,21
California,benmoore_91313,6,"Sat, Oct 10",Away,-,Oregon State,CPU,User vs CPU,Completed,W,42.0,14.0,28.0,2026-08-08 12:18:41,2026,-
California,benmoore_91313,7,,-,-,BYE,-,BYE,BYE,-,,,,2026-08-08 12:18:41,2026,
California,benmoore_91313,8,"Sat, Oct 24",Home,25,Washington,CPU,User vs CPU,Upcoming,-,,,,2026-08-08 12:18:41,2026,
