Team,User,Week,Date,Location,Opponent_Rank,Opponent,Opponent_User,Matchup_Type,Status,Outcome,Team_Score,Opponent_Score,Margin,Last_Updated,Season,Opponent_Rank_At_Game
SMU,cfuller23,4,"Sat, Sep 26",Away,-,Air Force,CPU,User vs CPU,Completed,W,58.0,12.0,46.0,2026-08-08 12:18:28,2026,-
SMU,cfuller23,5,"Thu, Oct 1",Home,-,Colorado State,CPU,User vs CPU,Completed,W,77.0,14.0,63.0,2026-08-08 12:18:28,2026,-
SMU,cfuller23,6,"Sat, Oct 10",Away,-,New Mexico,CPU,User vs CPU,Completed,W,84.0,17.0,67.0,2026-08-08 12:18:28,2026,-
SMU,cfuller23,7,"Sat, Oct 17",Away,-,San Jose State,CPU,User vs CPU,Completed,W,77.0,34.0,43.0,2026-08-08 12:18:28,2026,-
SMU,cfuller23,8,"Sat, Oct 24",Home,-,Utah State,CPU,User vs CPU,Completed,W,59.0,24.0,35.0,2026-08-08 12:18:28,2026,-
SMU,cfuller23,9,"Sat, Oct 31",Home,-,Nevada,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:20,2026,
SMU,cfuller23,10,"Sat, Nov 7",Away,-,North Dakota State,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:20,2026,
SMU,cfuller23,11,"Sat, Nov 14",Home,-,Wake Forest,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:20,2026,
SMU,cfuller23,12,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:20,2026,
SMU,cfuller23,13,"Sat, Nov 28",Away,18,Notre Dame,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:20,2026,
SMU,cfuller23,14,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:20,2026,
SMU,cfuller23,Conf Champ,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:20,2026,
SMU,cfuller23,16,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:20,2026,
South Carolina,clemson256_67951,0,,-,-,BYE,-,BYE,BYE,-,,,,2026-08-08 12:18:28,2026,
South Carolina,clemson256_67951,1,"Sat, Sep 5",Home,-,UConn,CPU,User vs CPU,Completed,W,56.0,0.0,56.0,2026-08-08 12:18:28,2026,-
South Carolina,clemson256_67951,2,"Sat, Sep 12",Away,-,Vanderbilt,CPU,User vs CPU,Completed,W,27.0,13.0,14.0,2026-08-08 12:18:28,2026,-
South Carolina,clemson256_67951,3,"Sat, Sep 19",Home,-,Mississippi State,CPU,User vs CPU,Completed,W,17.0,14.0,3.0,2026-08-08 12:18:28,2026,-
South Carolina,clemson256_67951,4,"Sat, Sep 26",Away,-,Alabama,CPU,User vs CPU,Completed,W,35.0,17.0,18.0,2026-08-08 12:18:28,2026,19
South Carolina,clemson256_67951,5,,-,-,BYE,-,BYE,BYE,-,,,,2026-08-08 12:18:28,2026,
South Carolina,clemson256_67951,6,"Sat, Oct 10",Home,-,Florida,CPU,User vs CPU,Completed,W,14.0,12.0,2.0,2026-08-08 12:18:28,2026,-
South Carolina,clemson256_67951,7,"Sat, Oct 17",Away,-,Auburn,CPU,User vs CPU,Completed,W,38.0,10.0,28.0,2026-08-08 12:18:28,2026,-
South Carolina,clemson256_67951,8,"Sat, Oct 24",Away,-,Tennessee,CPU,User vs CPU,Completed,W,34.0,19.0,15.0,2026-08-08 12:18:28,2026,-
South Carolina,Clemson256,9,"Sat, Oct 31",Home,-,Virginia Tech,Rooke1221,User vs User,Upcoming,-,,,,2026-07-25 13:45:23,2026,
South Carolina,Clemson256,10,"Sat, Nov 7",Home,20,Texas A&M,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:23,2026,
South Carolina,Clemson256,11,"Sat, Nov 14",Home,-,Arkansas,Clemsontigers1,User vs User,Upcoming,-,,,,2026-07-25 13:45:23,2026,
South Carolina,Clemson256,12,"Sat, Nov 21",Home,2,Georgia,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:23,2026,
South Carolina,Clemson256,13,"Sat, Nov 28",Away,-,Clemson,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:23,2026,
South Carolina,Clemson256,14,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:23,2026,
South Carolina,Clemson256,Conf Champ,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:23,2026,
South Carolina,Clemson256,16,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:23,2026,
Stanford,bearofswag,0,,-,-,BYE,-,BYE,BYE,-,,,,2026-08-08 12:18:31,2026,
Stanford,bearofswag,1,"Fri, Sep 4",Home,14,Miami,CPU,User vs CPU,Completed,W,30.0,27.0,3.0,2026-08-08 12:18:31,2026,6
Stanford,bearofswag,2,,-,-,BYE,-,BYE,BYE,-,,,,2026-08-08 12:18:31,2026,
Stanford,bearofswag,3,"Sat, Sep 19",Home,8,SMU,cfuller23,User vs User,Completed,L,17.0,38.0,-21.0,2026-08-08 12:18:31,2026,16
Stanford,bearofswag,4,"Sat, Sep 26",Home,-,Utah,CPU,User vs CPU,Completed,W,43.0,29.0,14.0,2026-08-08 12:18:31,2026,-
Stanford,bearofswag,5,"Sat, Oct 3",Home,10,BYU,CPU,User vs CPU,Completed,L,17.0,38.0,-21.0,2026-08-08 12:18:31,2026,9
Stanford,bearofswag,6,"Sat, Oct 10",Away,16,Notre Dame,CPU,User vs CPU,Completed,L,39.0,41.0,-2.0,2026-08-08 12:18:31,2026,23
Stanford,bearofswag,7,"Sat, Oct 17",Home,-,Washington State,CPU,User vs CPU,Completed,W,45.0,27.0,18.0,2026-08-08 12:18:31,2026,-
Stanford,bearofswag,8,"Sat, Oct 24",Away,-,Arizona,CPU,User vs CPU,Upcoming,-,,,,2026-08-08 12:18:31,2026,
Stanford,bearofswag,9,"Sat, Oct 31",Away,9,USC,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:26,2026,
Stanford,bearofswag,10,"Thu, Nov 5",Away,12,Oregon,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:26,2026,
Stanford,bearofswag,11,"Sat, Nov 14",Home,-,New Mexico,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:26,2026,
Stanford,bearofswag,12,"Sat, Nov 21",Away,-,UCLA,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:26,2026,
Stanford,bearofswag,13,"Sat, Nov 28",Home,-,Oregon State,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:26,2026,
Stanford,bearofswag,14,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:26,2026,
Stanford,bearofswag,Conf Champ,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:26,2026,
Stanford,bearofswag,16,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:26,2026,
Temple,reign_man34,0,,-,-,BYE,-,BYE,BYE,-,,,,2026-08-08 12:18:31,2026,
Temple,reign_man34,1,"Sat, Sep 5",Home,-,Akron,CPU,User vs CPU,Completed,W,35.0,14.0,21.0,2026-08-08 12:18:31,2026,-
Temple,reign_man34,2,"Sat, Sep 12",Home,-,Penn State,CPU,User vs CPU,Completed,L,7.0,51.0,-44.0,2026-08-08 12:18:31,2026,-
Temple,reign_man34,3,"Sat, Sep 19",Away,12,California,benmoore_91313,User vs User,Completed,L,0.0,45.0,-45.0,2026-08-08 12:18:31,2026,-
Temple,reign_man34,4,"Sat, Sep 26",Home,-,Army,CPU,User vs CPU,Completed,W,34.0,31.0,3.0,2026-08-08 12:18:31,2026,-
Temple,reign_man34,5,"Sat, Oct 3",Away,-,USF,CPU,User vs CPU,Completed,W,48.0,20.0,28.0,2026-08-08 12:18:31,2026,-
Temple,reign_man34,6,"Sat, Oct 10",Home,-,UConn,CPU,User vs CPU,Completed,W,31.0,21.0,10.0,2026-08-08 12:18:31,2026,-
Temple,reign_man34,7,"Sat, Oct 17",Home,-,Charlotte,CPU,User vs CPU,Completed,W,42.0,10.0,32.0,2026-08-08 12:18:31,2026,-
Temple,reign_man34,8,,-,-,BYE,-,BYE,BYE,-,,,,2026-08-08 12:18:31,2026,
Temple,reign_man34,9,"Sat, Oct 31",Away,-,East Carolina,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:29,2026,
Temple,reign_man34,10,"Sat, Nov 7",Away,-,Navy,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:29,2026,
Temple,reign_man34,11,"Sat, Nov 14",Home,-,UAB,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:29,2026,
Temple,reign_man34,12,"Thu, Nov 19",Home,-,Rice,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:29,2026,
Temple,reign_man34,13,"Sat, Nov 28",Away,-,Memphis,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:29,2026,
Temple,reign_man34,14,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:29,2026,
Temple,reign_man34,Conf Champ,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:29,2026,
Temple,reign_man34,16,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:29,2026,
Virginia,jdwright1414,0,"Sat, Aug 29",Home,-,NC State,CPU,User vs CPU,Completed,W,31.0,17.0,14.0,2026-08-08 12:18:25,2026,-
Virginia,jdwright1414,1,"Sat, Sep 5",Away,-,Illinois,CPU,User vs CPU,Completed,W,27.0,20.0,7.0,2026-08-08 12:18:25,2026,-
Virginia,jdwright1414,2,"Sat, Sep 12",Away,18,Pittsburgh,aalexbailey,User vs User,Completed,L,14.0,49.0,-35.0,2026-08-08 12:18:25,2026,-
Virginia,jdwright1414,3,,-,-,BYE,-,BYE,BYE,-,,,,2026-08-08 12:18:25,2026,
Virginia,jdwright1414,4,"Sat, Sep 26",Home,17,Texas Tech,CPU,User vs CPU,Completed,W,43.0,33.0,10.0,2026-08-08 12:18:25,2026,5
Virginia,jdwright1414,5,"Sat, Oct 3",Home,-,Delaware,CPU,User vs CPU,Completed,W,24.0,21.0,3.0,2026-08-08 12:18:25,2026,-
Virginia,jdwright1414,6,"Sat, Oct 10",Away,-,Syracuse,CPU,User vs CPU,Completed,W,33.0,9.0,24.0,2026-08-08 12:18:25,2026,-
Virginia,jdwright1414,7,,-,-,BYE,-,BYE,BYE,-,,,,2026-08-08 12:18:25,2026,
Virginia,jdwright1414,8,"Sat, Oct 24",Home,14,Miami,CPU,User vs CPU,Upcoming,-,,,,2026-08-08 12:18:25,2026,
Virginia,son_of_beef,9,"Sat, Oct 31",Away,-,Wake Forest,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 15:15:17,2026,
Virginia,son_of_beef,10,"Sat, Nov 7",Away,-,Boston College,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 15:15:17,2026,
Virginia,son_of_beef,11,"Sat, Nov 14",Home,-,Cincinnati,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 15:15:17,2026,
Virginia,son_of_beef,12,"Thu, Nov 19",Home,10,Louisville,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 15:15:17,2026,
Virginia,son_of_beef,13,"Sat, Nov 28",Home,-,Virginia Tech,Rooke1221,User vs User,Upcoming,-,,,,2026-07-25 15:15:17,2026,
Virginia,son_of_beef,14,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 15:15:17,2026,
Virginia,son_of_beef,Conf Champ,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 15:15:17,2026,
Virginia,son_of_beef,16,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 15:15:17,2026,
Virginia Tech,rooke1221,0,,-,-,BYE,-,BYE,BYE,-,,,,2026-08-08 12:18:25,2026,
Virginia Tech,rooke1221,1,"Sat, Sep 5",Home,-,Ball State,CPU,User vs CPU,Completed,W,52.0,7.0,45.0,2026-08-08 12:18:25,2026,-
Virginia Tech,rooke1221,2,"Sat, Sep 12",Home,-,Wake Forest,CPU,User vs CPU,Completed,L,21.0,31.0,-10.0,2026-08-08 12:18:25,2026,-
Virginia Tech,rooke1221,3,"Sat, Sep 19",Home,6,Louisville,CPU,User vs CPU,Completed,W,31.0,23.0,8.0,2026-08-08 12:18:25,2026,8
Virginia Tech,rooke1221,4,"Sat, Sep 26",Home,-,Boston College,CPU,User vs CPU,Completed,L,27.0,30.0,-3.0,2026-08-08 12:18:25,2026,-
Virginia Tech,rooke1221,5,"Sat, Oct 3",Away,18,Pittsburgh,aalexbailey,User vs User,Completed,L,14.0,59.0,-45.0,2026-08-08 12:18:25,2026,-
Virginia Tech,rooke1221,6,"Sat, Oct 10",Home,-,Maryland,coys35,User vs User,Completed,W,38.0,7.0,31.0,2026-08-08 12:18:25,2026,-
Virginia Tech,rooke1221,7,"Sat, Oct 17",Home,-,Georgia Tech,CPU,User vs CPU,Completed,W,49.0,23.0,26.0,2026-08-08 12:18:25,2026,-
Virginia Tech,rooke1221,8,"Sat, Oct 24",Away,-,NC State,CPU,User vs CPU,Upcoming,-,,,,2026-08-08 12:18:25,2026,
Virginia Tech,Rooke1221,9,"Sat, Oct 31",Away,21,South Carolina,Clemson256,User vs User,Upcoming,-,,,,2026-07-25 15:15:50,2026,
Virginia Tech,Rooke1221,10,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 15:15:50,2026,
Virginia Tech,Rooke1221,11,"Sat, Nov 14",Home,-,Oregon State,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 15:15:50,2026,
Virginia Tech,Rooke1221,12,"Sat, Nov 21",Away,17,Miami,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 15:15:50,2026,
Virginia Tech,Rooke1221,13,"Sat, Nov 28",Away,22,Virginia,son_of_beef,User vs User,Upcoming,-,,,,2026-07-25 15:15:50,2026,
Virginia Tech,Rooke1221,14,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 15:15:50,2026,
Virginia Tech,Rooke1221,Conf Champ,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 15:15:50,2026,
Virginia Tech,Rooke1221,16,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 15:15:50,2026,
West Virginia,jwmd02,0,,-,-,BYE,-,BYE,BYE,-,,,,2026-08-08 12:18:26,2026,
West Virginia,jwmd02,1,"Sat, Sep 5",Away,-,UTEP,CPU,User vs CPU,Completed,W,21.0,17.0,4.0,2026-08-08 12:18:26,2026,-
West Virginia,jwmd02,2,"Sat, Sep 12",Away,-,Florida International,CPU,User vs CPU,Completed,W,27.0,24.0,3.0,2026-08-08 12:18:26,2026,-
West Virginia,jwmd02,3,"Sat, Sep 19",Home,-,Wisconsin,CPU,User vs CPU,Completed,W,20.0,17.0,3.0,2026-08-08 12:18:26,2026,-
West Virginia,jwmd02,4,"Sat, Sep 26",Home,-,New Mexico State,CPU,User vs CPU,Completed,W,28.0,24.0,4.0,2026-08-08 12:18:26,2026,-
West Virginia,jwmd02,5,,-,-,BYE,-,BYE,BYE,-,,,,2026-08-08 12:18:26,2026,
West Virginia,jwmd02,6,"Sat, Oct 10",Home,-,Sam Houston,CPU,User vs CPU,Completed,W,37.0,34.0,3.0,2026-08-08 12:18:26,2026,-
West Virginia,jwmd02,7,"Sat, Oct 17",Away,-,Cincinnati,CPU,User vs CPU,Completed,L,21.0,34.0,-13.0,2026-08-08 12:18:26,2026,-
West Virginia,jwmd02,8,"Sat, Oct 24",Home,-,Louisiana Tech,CPU,User vs CPU,Completed,W,49.0,20.0,29.0,2026-08-08 12:18:26,2026,-
West Virginia,Garnet Blood,9,"Sat, Oct 31",Away,-,Delaware,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 15:15:55,2026,
West Virginia,Garnet Blood,10,"Sat, Nov 7",Home,-,Missouri State,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 15:15:55,2026,
West Virginia,Garnet Blood,11,"Sat, Nov 14",Home,-,Kansas,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 15:15:55,2026,
West Virginia,Garnet Blood,12,"Sat, Nov 21",Home,16,Houston,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 15:15:55,2026,
West Virginia,Garnet Blood,13,"Fri, Nov 27",Away,-,Utah,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 15:15:55,2026,
West Virginia,Garnet Blood,14,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 15:15:55,2026,
West Virginia,Garnet Blood,Conf Champ,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 15:15:55,2026,
West Virginia,Garnet Blood,16,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 15:15:55,2026,
