Season,Team,User,Week,Date,Location,Opponent_Rank,Opponent,Opponent_User,Matchup_Type,Status,Outcome,Team_Score,Opponent_Score,Margin,Last_Updated
2026,Baylor,TigerBo413,10,"Sat, Nov 7",Home,-,Iowa State,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:09
2026,Baylor,TigerBo413,11,"Sat, Nov 14",Home,12,BYU,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:09
2026,Baylor,TigerBo413,12,"Sat, Nov 21",Home,-,Kansas State,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:09
2026,Baylor,TigerBo413,13,"Sat, Nov 28",Away,21,Houston,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:09
2026,Baylor,TigerBo413,14,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:40:09
2026,Baylor,TigerBo413,Conf Champ,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:40:09
2026,Baylor,TigerBo413,16,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:40:09
2026,California,Ben,0,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:40:24
2026,California,Ben,1,"Sat, Sep 5",Home,-,UCLA,CPU,User vs CPU,Completed,W,35.0,21.0,14.0,2026-07-24 16:40:24
2026,California,Ben,2,"Sat, Sep 12",Home,-,Syracuse,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:24
2026,California,Ben,3,"Sat, Sep 19",Home,-,Temple,reign_man34,User vs User,Upcoming,-,,,,2026-07-24 16:40:24
2026,California,Ben,4,"Sat, Sep 26",Away,12,BYU,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:24
2026,California,Ben,5,"Sat, Oct 3",Home,-,Arizona,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:24
2026,California,Ben,6,"Sat, Oct 10",Away,-,Oregon State,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:24
2026,California,Ben,7,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:40:24
2026,California,Ben,8,"Sat, Oct 24",Home,23,Washington,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:20
2026,California,Ben,9,"Sat, Oct 31",Home,2,Oregon,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:20
2026,California,Ben,10,"Sat, Nov 7",Away,-,Washington State,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:20
2026,California,Ben,11,"Sat, Nov 14",Away,-,Boise State,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:20
2026,California,Ben,12,"Sat, Nov 21",Away,-,Arizona State,Brian,User vs User,Upcoming,-,,,,2026-07-24 16:40:20
2026,California,Ben,13,"Sat, Nov 28",Home,-,Vanderbilt,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:20
2026,California,Ben,14,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:40:20
2026,California,Ben,Conf Champ,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:40:20
2026,California,Ben,16,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:40:20
2026,Colorado,tigerbrave27,0,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:40:36
2026,Colorado,tigerbrave27,1,"Sat, Sep 5",Away,8,Texas A&M,CPU,User vs CPU,Completed,W,35.0,24.0,11.0,2026-07-24 16:40:36
2026,Colorado,tigerbrave27,2,"Sat, Sep 12",Away,10,Oklahoma,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:36
2026,Colorado,tigerbrave27,3,"Sat, Sep 19",Home,7,Texas,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:36
2026,Colorado,tigerbrave27,4,"Sat, Sep 26",Away,-,Baylor,TigerBo413,User vs User,Upcoming,-,,,,2026-07-24 16:40:36
2026,Colorado,tigerbrave27,5,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:40:36
2026,Colorado,tigerbrave27,6,"Sat, Oct 10",Home,-,Arizona,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:36
2026,Colorado,tigerbrave27,7,"Sat, Oct 17",Home,-,UCF,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:36
2026,Colorado,tigerbrave27,8,"Sat, Oct 24",Home,-,Nebraska,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:40
2026,Colorado,tigerbrave27,9,"Sat, Oct 31",Home,-,Kansas State,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:40
2026,Colorado,tigerbrave27,10,"Sat, Nov 7",Home,-,Arizona State,Brian,User vs User,Upcoming,-,,,,2026-07-24 16:40:40
2026,Colorado,tigerbrave27,11,"Sat, Nov 14",Away,-,TCU,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:40
2026,Colorado,tigerbrave27,12,"Sat, Nov 21",Home,-,Iowa State,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:40
2026,Colorado,tigerbrave27,13,"Sat, Nov 28",Away,-,Cincinnati,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:40
2026,Colorado,tigerbrave27,14,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:40:40
2026,Colorado,tigerbrave27,Conf Champ,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:40:40
2026,Colorado,tigerbrave27,16,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:40:40
2026,Missouri,Holdma Dix,0,"Sat, Aug 29",Home,-,Arkansas,Clemsontigers1,User vs User,Completed,L,21.0,42.0,-21.0,2026-07-24 16:40:53
2026,Missouri,Holdma Dix,1,"Thu, Sep 3",Home,-,Boston College,CPU,User vs CPU,Completed,W,40.0,28.0,12.0,2026-07-24 16:40:53
2026,Missouri,Holdma Dix,2,"Sat, Sep 12",Home,-,Kansas,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:53
2026,Missouri,Holdma Dix,3,"Sat, Sep 19",Away,-,TCU,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:53
2026,Missouri,Holdma Dix,4,"Sat, Sep 26",Away,-,Iowa State,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:53
2026,Missouri,Holdma Dix,5,"Sat, Oct 3",Away,-,Kansas State,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:53
2026,Missouri,Holdma Dix,6,"Sat, Oct 10",Home,8,Texas A&M,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:53
2026,Missouri,Holdma Dix,7,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:40:53
2026,Missouri,Holdma Dix,8,"Sat, Oct 24",Away,-,Oklahoma State,bigdaddydoubles,User vs User,Upcoming,-,,,,2026-07-24 16:43:08
2026,Missouri,Holdma Dix,9,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:43:08
2026,Missouri,Holdma Dix,10,"Sat, Nov 7",Home,16,Texas Tech,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:43:08
2026,Missouri,Holdma Dix,11,"Sat, Nov 14",Away,4,Georgia,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:43:08
2026,Missouri,Holdma Dix,12,"Sat, Nov 21",Home,-,Kentucky,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:43:08
2026,Missouri,Holdma Dix,13,"Sat, Nov 28",Home,10,Oklahoma,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:43:08
2026,Missouri,Holdma Dix,14,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:43:08
2026,Missouri,Holdma Dix,Conf Champ,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:43:08
2026,Missouri,Holdma Dix,16,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:43:08
2026,Northwestern,Chefkdh,0,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:43:20
2026,Northwestern,Chefkdh,1,"Sat, Sep 5",Home,-,Bowling Green,CPU,User vs CPU,Completed,W,41.0,38.0,3.0,2026-07-24 16:43:20
2026,Northwestern,Chefkdh,2,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:43:20
